City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Cloquet,US,43.0,overcast clouds,46.72,-92.46,Super 8 by Wyndham Cloquet
465,Hay River,CA,32.0,few clouds,60.82,-115.8,Ptarmigan Inn Hotels
466,Ayan,RU,38.07,scattered clouds,56.45,138.17,Gostinitsa
468,Franca,BR,58.73,clear sky,-20.54,-47.4,Imperador Palace Hotel
475,Suntar,RU,35.89,scattered clouds,62.14,117.63,Gostevoy Dom
482,Boguchany,RU,51.03,overcast clouds,58.38,97.45,Uyut
490,Ostersund,SE,33.8,broken clouds,63.18,14.64,Best Western Hotel Gamla Teatern
492,Severodvinsk,RU,37.4,few clouds,64.56,39.83,Park Hotel
495,Cervo,ES,57.99,light rain,43.67,-7.41,Hotel Spa Galatea
500,Oxbow,CA,41.0,clear sky,49.23,-102.17,Bow Manor Motor Hotel
502,Aklavik,CA,42.8,few clouds,68.22,-135.01,Aklavik Inn
503,Minot,US,42.8,broken clouds,48.23,-101.3,Noble Inn
509,Mayo,US,50.0,broken clouds,38.89,-76.51,Resorts Resource Group International
510,Chippewa Falls,US,54.0,few clouds,44.94,-91.39,AmericInn by Wyndham Chippewa Falls
514,Baruun-Urt,MN,39.7,overcast clouds,46.68,113.28,Ахмадын амралт сувилал
516,Stornoway,GB,42.8,light intensity shower rain,58.21,-6.39,Caladh Inn
531,Kyshtovka,RU,58.98,clear sky,56.55,76.63,Uyutnaya Mini-Hotel
534,Olafsvik,IS,37.94,clear sky,64.89,-23.71,Hotel Olafsvik
539,Harrisburg,US,44.01,broken clouds,40.27,-76.88,Hilton Harrisburg
540,Vankleek Hill,CA,39.99,overcast clouds,45.52,-74.65,Maple Lea Farm B & B
