City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
130,Samarai,-10.62,150.67,overcast clouds,80.89,81,96,14.03,PG,2020-05-09 22:24:57,0,0
131,Nabire,-3.37,135.48,few clouds,79.54,85,13,2.75,ID,2020-05-09 22:25:58,0,0
132,Iqaluit,63.75,-68.51,broken clouds,37.4,69,75,9.17,CA,2020-05-09 22:25:09,0,0
133,Tuktoyaktuk,69.45,-133.04,scattered clouds,35.6,74,40,19.46,CA,2020-05-09 22:25:58,0,0
134,Pervomayskiy,53.25,40.29,light rain,48.85,89,100,5.64,RU,2020-05-09 22:25:58,0,0
135,Ilulissat,69.22,-51.1,light rain,32.0,82,100,3.36,GL,2020-05-09 22:25:59,0,0
136,Zhangye,38.93,100.45,scattered clouds,50.47,41,48,21.74,CN,2020-05-09 22:25:59,0,0
137,Flinders,-34.58,150.86,clear sky,53.01,60,0,5.01,AU,2020-05-09 22:25:59,0,0
138,Puerto Narino,-3.77,-70.38,broken clouds,80.6,83,75,5.82,CO,2020-05-09 22:25:59,0,0
139,Carnarvon,-24.87,113.63,overcast clouds,74.97,41,100,11.9,AU,2020-05-09 22:25:59,0,0
140,Mapiripan,2.89,-72.13,light rain,80.44,84,100,2.53,CO,2020-05-09 22:25:59,0,0
141,Dzhubga,44.32,38.7,broken clouds,53.38,69,61,10.98,RU,2020-05-09 22:25:59,0,0
142,Wundanyi,-3.4,38.36,broken clouds,61.54,95,58,5.86,KE,2020-05-09 22:25:59,0,0
143,Bima,-8.47,118.72,overcast clouds,73.74,88,98,3.36,ID,2020-05-09 22:26:00,0,0
144,Sitka,57.05,-135.33,broken clouds,69.8,28,75,11.41,US,2020-05-09 22:26:00,0,0
145,San Patricio,19.22,-104.7,few clouds,84.2,79,20,17.22,MX,2020-05-09 22:24:53,0,0
